index;date;country;confirmed;confirmed_DR;confirmed_filtered;confirmed_filtered_DR
380;2020-04-13;Israel;11942.0;23.163636363636375;11878.199999999997;27.715897187978424
381;2020-04-14;United States;622493.0;21.436786789493613;622019.5999999999;21.7077038778595
382;2020-04-14;Germany;125098.0;53.19953813956848;125325.39999999998;45.6901170657828
383;2020-04-14;China;84512.0;917.6630434782611;84518.79999999999;785.2142635658917
384;2020-04-14;South Korea;10564.0;405.2948717948719;10563.399999999998;384.535279805358
385;2020-04-14;Israel;12341.0;28.504181600955803;12277.399999999998;29.38612554648186
386;2020-04-15;South Korea;10591.0;391.25925925925935;10587.999999999996;412.60677083334224
387;2020-04-15;Israel;12652.0;34.68075117370893;12625.799999999997;32.7995362939183
388;2020-04-15;Germany;127584.0;54.83041447752483;127995.59999999998;47.95267056828465
389;2020-04-15;United States;648390.0;22.929743353311824;650842.2;22.118448715534228
390;2020-04-15;China;84607.0;982.7674418604656;84677.4;629.9185295578535
391;2020-04-16;Israel;12948.0;41.670510708401984;12944.799999999997;37.80641294575969
392;2020-04-16;Germany;130450.0;47.72446437468861;130880.19999999997;46.11041501644234
393;2020-04-16;China;84712.0;846.1033333333337;84828.39999999998;546.9952627045807
394;2020-04-16;South Korea;10613.0;432.21768707483017;10611.199999999997;442.99302649930945
395;2020-04-16;United States;678028.0;23.395588367696057;679701.9999999999;22.56683494445446
396;2020-04-17;United States;711135.0;21.64903445161634;707980.5999999999;23.784644535607153
397;2020-04-17;Israel;13246.0;43.598204264870944;13239.199999999997;42.179980436909055
398;2020-04-17;China;85121.0;330.0129701686123;84976.19999999998;567.786702365038
399;2020-04-17;South Korea;10635.0;482.409090909091;10630.599999999999;498.11893583722014
400;2020-04-17;Germany;133830.0;41.825595047497075;133839.99999999997;44.79681974767875
401;2020-04-18;Germany;137439.0;38.31916821672152;136657.59999999998;46.31585142105439
402;2020-04-18;South Korea;10653.0;531.6833333333335;10647.199999999997;590.5370370370372
403;2020-04-18;Israel;13537.0;44.97000565930957;13531.199999999997;45.151432469304254
404;2020-04-18;China;85190.0;355.6806136680614;85117.19999999998;588.4621421975935
405;2020-04-18;United States;738464.0;23.469753127275144;737096.5999999999;24.680361334806186
406;2020-04-19;United States;763886.0;27.974003652379427;765499.9999999999;25.62123619741049
407;2020-04-19;Israel;13813.0;47.73192239858908;13820.399999999998;46.5597614131681
408;2020-04-19;China;85251.0;1310.5743589743595;85250.4;620.8212983223661
409;2020-04-19;South Korea;10661.0;819.2051282051283;10661.199999999997;695.83877995646
410;2020-04-19;Germany;139897.0;45.18059447283119;139258.99999999997;50.40986651903796
411;2020-04-20;Germany;141672.0;65.99070792975829;141631.8;55.96188331792035
412;2020-04-20;United States;793970.0;27.580441754044617;793258.2;27.25296050444902
413;2020-04-20;Israel;14112.0;48.07188405797102;14094.999999999996;49.00863190256597
414;2020-04-20;China;85312.0;1397.5573770491806;85312.19999999998;874.1189743589747
415;2020-04-20;South Korea;10674.0;1015.4920634920636;10672.999999999998;826.3927648578464
416;2020-04-21;South Korea;10683.0;970.2424242424244;10684.0;936.2046783624537
417;2020-04-21;China;85378.0;1343.5223097112869;85367.79999999999;1453.3242475866705
418;2020-04-21;Israel;14394.0;48.55880665519222;14366.599999999997;51.60746979128536
419;2020-04-21;United States;820045.0;28.228197320702535;821943.5999999999;28.118945873993408
420;2020-04-21;Germany;143457.0;79.59288389513112;143753.19999999998;62.991411152151514
421;2020-04-22;Germany;145694.0;71.41107243494119;145850.39999999997;68.1482640370427
422;2020-04-22;Israel;14619.0;56.7061143984221;14632.599999999999;53.44022817460296
423;2020-04-22;China;85430.0;1447.0056497175144;85420.39999999998;1577.9445471349782
424;2020-04-22;South Korea;10694.0;1068.366666666667;10695.399999999998;953.9404761904922
425;2020-04-22;United States;849926.0;29.355696142206977;851937.5999999999;28.02959130461462
426;2020-04-23;Israel;14895.0;58.427145708582856;14870.599999999999;58.02883597883579
427;2020-04-23;United States;881891.0;27.507701926290036;882097.5999999999;28.327058328069075
428;2020-04-23;South Korea;10708.0;855.6000000000004;10706.199999999997;963.531531531658
429;2020-04-23;Germany;148046.0;63.513764799883795;148003.59999999998;68.63780663780675
430;2020-04-23;China;85468.0;1898.3407407407412;85467.99999999999;1704.9647371923322
431;2020-04-24;Israel;15143.0;56.815521628498736;15068.799999999996;68.1216567323862
432;2020-04-24;United States;913856.0;27.589269513530432;912236.7999999998;29.257126683825575
433;2020-04-24;Germany;150383.0;63.14395393474091;150147.19999999998;68.88866132936111
434;2020-04-24;South Korea;10718.0;892.2222222222223;10717.199999999997;982.2262996942227
435;2020-04-24;China;85514.0;2035.015873015874;85508.19999999998;1946.8230827637929
436;2020-04-25;South Korea;10728.0;1071.8000000000004;10728.799999999997;948.4424778760908
437;2020-04-25;China;85550.0;2085.6260162601634;85544.19999999998;2244.2729658793505
438;2020-04-25;Germany;152438.0;68.43761384335156;152046.99999999997;74.22759723664916
439;2020-04-25;United States;944770.0;29.055985835228512;941329.7999999998;30.790281862455473
440;2020-04-25;Israel;15302.0;74.26699426699432;15247.599999999997;79.90627763041599
441;2020-04-26;Germany;154175.0;80.34388185654012;153705.19999999998;85.42240959340452
442;2020-04-26;South Korea;10738.0;1072.8000000000004;10739.399999999998;966.5285285284971
443;2020-04-26;United States;970741.0;33.158911253698996;968944.3999999999;33.18204261862603
444;2020-04-26;Israel;15385.0;126.25344352617084;15402.999999999996;91.20167564332716
445;2020-04-26;China;85579.0;2632.2358974358986;85584.99999999997;2227.7552083336714
446;2020-04-27;South Korea;10752.0;894.9444444444446;10748.8;1073.8999999999025
447;2020-04-27;China;85610.0;2852.655555555557;85622.39999999998;2188.84569479974
448;2020-04-27;Germany;155193.0;111.74978826376288;155156.8;98.80785473878224
449;2020-04-27;United States;995391.0;38.33589485259741;995536.3999999998;35.73747600230724
450;2020-04-27;Israel;15513.0;145.9715639810427;15525.199999999997;110.89289145052821
451;2020-04-28;Germany;156337.0;143.60314523589273;156492.99999999997;111.28368845206546
452;2020-04-28;United States;1019964.0;40.44309909324234;1021885.9999999998;37.605799598047774
453;2020-04-28;Israel;15672.0;108.17653890824627;15643.999999999996;128.830428769018
454;2020-04-28;South Korea;10761.0;934.8115942028988;10757.999999999996;1155.7777777778683
455;2020-04-28;China;85672.0;1841.2974910394266;85661.59999999998;2235.5874673627545
456;2020-04-29;China;85701.0;1882.6593406593415;85698.99999999997;2236.5796344650066
457;2020-04-29;Israel;15754.0;129.8450899031812;15769.399999999996;128.14250614250673
458;2020-04-29;United States;1046816.0;39.69756603467835;1050019.7999999998;37.53366101723949
459;2020-04-29;Germany;157641.0;127.769880174292;157809.59999999998;117.9783373542426
460;2020-04-29;South Korea;10765.0;1655.2820512820515;10766.399999999998;1222.4696969697984
461;2020-04-30;United States;1076518.0;37.05364784100154;1078576.4;37.04897948623862
462;2020-04-30;China;85746.0;2316.387387387388;85731.79999999999;2441.5232668561953
463;2020-04-30;Israel;15896.0;140.83928571428575;15880.599999999997;133.26007326007306
464;2020-04-30;South Korea;10774.0;1656.4102564102568;10774.599999999999;1297.1485943773391
465;2020-04-30;Germany;159119.0;113.3709561466571;159111.59999999998;120.52603172178493
466;2020-05-01;Israel;16012.0;123.15762273901815;15965.399999999996;161.95714285714283
467;2020-05-01;South Korea;10780.0;1436.4000000000005;10782.599999999999;1330.1893004114631
468;2020-05-01;Germany;160758.0;102.13196449577586;160343.39999999997;125.57281553398118
469;2020-05-01;China;85766.0;2638.0820512820524;85748.99999999999;3429.063999999002
470;2020-05-01;United States;1111410.0;33.385391832058716;1106964.9999999998;37.87923828522863
471;2020-05-02;United States;1138174.0;35.964080273344585;1134743.5999999999;39.409536764042635
472;2020-05-02;Israel;16069.0;184.8824662813103;16044.399999999996;194.9141229141238
473;2020-05-02;China;85774.0;6125.857142857144;85759.4;6213.531400964875
474;2020-05-02;South Korea;10793.0;1134.9824561403511;10790.399999999998;1364.877637130865
475;2020-05-02;Germany;161703.0;124.24664602683184;161450.19999999998;137.0920493742692
476;2020-05-03;China;85758.0;-21441.500000000004;85764.19999999998;11283.885964914442
477;2020-05-03;United States;1161907.0;45.038860394346884;1161385.7999999998;41.68864845794253
478;2020-05-03;Israel;16096.0;382.357142857143;16101.399999999998;235.8392156862713
479;2020-05-03;South Korea;10801.0;1027.7460317460323;10796.799999999997;1519.7089201879105
480;2020-05-03;Germany;162496.0;186.0210970464136;162398.39999999997;157.07769667477697
481;2020-05-04;Israel;16149.0;402.6166666666668;16148.199999999997;310.1734104046211
482;2020-05-04;United States;1185709.0;48.88734616598298;1185945.9999999998;45.337398246957264
483;2020-05-04;South Korea;10804.0;1963.5151515151526;10802.8;1741.3978494621617
484;2020-05-04;China;85753.0;-8167.777777777781;85769.39999999998;17152.86666669163
485;2020-05-04;Germany;163175.0;220.73097826086962;163208.19999999995;184.70109973454987
486;2020-05-05;Germany;163860.0;239.26246334310858;164085.79999999996;193.4701908261237
487;2020-05-05;United States;1209729.0;49.5914711499589;1210701.1999999997;48.099011667754986
488;2020-05-05;South Korea;10806.0;4321.466666666668;10808.599999999999;1830.9717514122606
